Abbottstown|York|PA|17301|70362|29.2|20.5|12.5|1139|East Coast|4053
Airville|York|PA|17302|64338|29.2|20.5|12.5|1007|East Coast|3083
Bel Alton|Charles|MD|20611|117697|29.1|22.4|10.0|2277|East Coast|1111
Beneditc|Charles|MD|20612|107808|29.1|22.4|10.0|3284|East Coast|132
Brandywine|Charles|MD|20613|136111|29.1|22.4|10.0|9834|East Coast|14595
Brogue|York|PA|17309|82321|29.2|20.5|12.5|1205|East Coast|2086
Bryans Road|Charles|MD|20616|101192|29.1|22.4|10.0|2987|East Coast|6934
Bryantown|Charles|MD|20617|113478|29.1|22.4|10.0|1733|East Coast|521
Camp Hill|York|PA|17011|84471|29.2|20.5|12.5|1106|East Coast|34586
Camp Hill|York|PA|17311|61719|29.2|20.5|12.5|4158|East Coast|252
Charlotte Hall|Charles|MD|20622|101544|29.1|22.4|10.0|2520|East Coast|6005
Cobb Island|Charles|MD|20625|115491|29.1|22.4|10.0|2376|East Coast|1262
Dallastown|York|PA|17313|57418|29.2|20.5|12.5|1238|East Coast|10899
Delta|York|PA|17314|80019|29.2|20.5|12.5|7491|East Coast|5929
Dillsburg|York|PA|17019|79196|29.2|20.5|12.5|1172|East Coast|17721
Dover|York|PA|17315|71791|29.2|20.5|12.5|1155|East Coast|25756
East Berlin|York|PA|17316|92770|29.2|20.5|12.5|1188|East Coast|8266
East Prospect|York|PA|17317|74615|29.2|20.5|12.5|1086|East Coast|755
Emigsville|York|PA|17318|70595|29.2|20.5|12.5|1139|East Coast|344
Etters|York|PA|17319|84416|29.2|20.5|12.5|1106|East Coast|10417
Faulkner|Charles|MD|20632|107808|29.1|22.4|10.0|2607|East Coast|656
Fawn Grove|York|PA|17321|100938|29.2|20.5|12.5|9059|East Coast|2238
Felton|York|PA|17322|95029|29.2|20.5|12.5|1139|East Coast|6012
Franklintown|York|PA|17323|50536|29.2|20.5|12.5|1172|East Coast|100
Glen Rock|York|PA|17327|88487|29.2|20.5|12.5|1155|East Coast|7565
Glenville|York|PA|17329|93542|29.2|20.5|12.5|1221|East Coast|2494
Hanover|York|PA|17331|69187|29.2|20.5|12.5|1733|East Coast|50292
Hughesville|Charles|MD|20637|130547|29.1|22.4|10.0|2640|East Coast|6223
Indian Head|Charles|MD|20640|80375|29.1|22.4|10.0|3218|East Coast|10853
Issue|Charles|MD|20645|131719|29.1|22.4|10.0|2921|East Coast|711
La Plata|Charles|MD|20646|119306|29.1|22.4|10.0|2079|East Coast|20648
Lewisberry|York|PA|17339|90625|29.2|20.5|12.5|1221|East Coast|6940
Littlestown|Adams|PA|17340|77034|27.0|21.6|12.2|990|East Coast|11409
Loganville|York|PA|17342|79000|29.2|20.5|12.5|3069|East Coast|602
Manchester|York|PA|17345|69975|29.2|20.5|12.5|1073|East Coast|7679
